project_id,codigo_actividad,cod_aeri,codigo_campus,year,title,title_norm,status,project_type,knowledge_area,research_line,executing_unit,executing_section,coordinator_original,coordinator_norm,management_unit,funding_type,funder
756,NO APLICA,-,NO APLICA,2016,CIUDADES INTERMEDIAS Y ESTRUCTURA TERRITORIAL FRENTE A LOS DESAFÍOS DE LA GLOBALIZACIÓN. EL CASO DE LA REGIÓN LA LIBERTAD.,CIUDADES INTERMEDIAS Y ESTRUCTURA TERRITORIAL FRENTE A LOS DESAFIOS DE LA GLOBALIZACION EL CASO DE LA REGION LA LIBERTAD,5. Cerrado,Interdisciplinario,Ciencias Naturales,Estudios territoriales y ciudades intermedias,CIAC - Centro de Investigación de la Arquitectura y la Ciudad,,"VILELA MALPARTIDA, MARTA ROSA",VILELA MALPARTIDA MARTA ROSA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
757,NO APLICA,2016-FEXT-068,NO APLICA,2016,CIRCULO - INVESTIGACIÓN Y DESARROLLO DE TECNOLOGÍAS DE ASISTENCIA APLICADAS A REHABILITACIÓN FÍSICA Y BIOMECÁNICA DEPORTIVA,CIRCULO INVESTIGACION Y DESARROLLO DE TECNOLOGIAS DE ASISTENCIA APLICADAS A REHABILITACION FISICA Y BIOMECANICA DEPORTIVA,5. Cerrado,Aplicada,Ingeniería y Tecnología,Bioingeniería y biotecnología,Departamento de Ingeniería,Mecánica,"ELÍAS GIORDANO, DANTE ÁNGEL",ELIAS GIORDANO DANTE ANGEL,OAP-DGI (Oficina de Administración de Proyectos,EXTERNO,"CONCYTEC/FONDECYT - Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica"
758,NO APLICA,2016-FAI-009,NO APLICA,2016,"CHANGES IN PERSONAL NETWORKS: LIFE EVENTS, NEW SPHERES AND SOCIAL INEQUALITY",CHANGES IN PERSONAL NETWORKS LIFE EVENTS NEW SPHERES AND SOCIAL INEQUALITY,5. Cerrado,básica y aplicada,Ciencias Sociales,TIC y redes sociales,Departamento de Ciencias Sociales,Sociología,"SANTOS ANAYA, MARTIN CHRISTIAN",SANTOS ANAYA MARTIN CHRISTIAN,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
759,NO APLICA,2016-CAPI-201,NO APLICA,2016,CAMBIO CLIMÁTICO Y POLÍTICAS DE GESTIÓN AMBIENTAL EN LA CADENA EXPORTADORA DE LA QUINUA EN EL PERÚ,CAMBIO CLIMATICO Y POLITICAS DE GESTION AMBIENTAL EN LA CADENA EXPORTADORA DE LA QUINUA EN EL PERU,5. Cerrado,básica y aplicada,Ciencias Sociales,"Desarrollo económico, innovación, cambio tecnológico y crecimiento",Departamento de Economía,Economía,"FAIRLIE REINOSO, ALAN CARSOL BERNABE",FAIRLIE REINOSO ALAN CARSOL BERNABE,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
760,NO APLICA,2016-CAPI-164,NO APLICA,2016,ASPECTOS GEOMÉTRICOS DE WEBS HOLOMORFOS E HIPERSUPERFICIES LEVI-FLAT,ASPECTOS GEOMETRICOS DE WEBS HOLOMORFOS E HIPERSUPERFICIES LEVI FLAT,5. Cerrado,básica y aplicada,Ciencias Naturales,Matemáticas puras,Departamento de Ciencias,Matemáticas,"BELTRAN CORTEZ, ANDRES WILLIAM",BELTRAN CORTEZ ANDRES WILLIAM,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
761,NO APLICA,2016-CAPI-171,NO APLICA,2016,ANÁLISIS MULTITEMPORAL Y MULTIESPACIAL DEL IMPACTO DEL CAMBIO CLIMÁTICO EN LA VEGETACIÓN DE ALTA MONTAÑA UTILIZANDO TÉCNICAS ESTADÍSTICAS DE BIOGEOGRAFÍA PREDICTIVA.,ANALISIS MULTITEMPORAL Y MULTIESPACIAL DEL IMPACTO DEL CAMBIO CLIMATICO EN LA VEGETACION DE ALTA MONTANA UTILIZANDO TECNICAS ESTADISTICAS DE BIOGEOGRAFIA PREDICTIVA,5. Cerrado,básica y aplicada,Ciencias Naturales,"Medioambiente, recursos naturales y ecología",Departamento de Humanidades,Geografía,"TIMANÁ DE LA FLOR, MARTÍN ENRIQUE",TIMANA DE LA FLOR MARTIN ENRIQUE,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
762,NO APLICA,2016-CAPI-162,NO APLICA,2016,ANÁLISIS DE FALLAS EN MATERIALES ESTRUCTURALES DE ORIGEN BIOLÓGICO,ANALISIS DE FALLAS EN MATERIALES ESTRUCTURALES DE ORIGEN BIOLOGICO,5. Cerrado,básica y aplicada,Ingeniería y Tecnología,Ciencias e ingeniería de los materiales,Departamento de Ingeniería,Mecánica,"TORRES GARCIA, FERNANDO GILBERTO",TORRES GARCIA FERNANDO GILBERTO,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
763,NO APLICA,2016-CAPI-196,NO APLICA,2016,ALGORITMO PROGRESIVO COMPUTACIONALMENTE EFICIENTE PARA REPRESENTACIONES 'SPARSE' CONVOLUCIONALES EN 3D,ALGORITMO PROGRESIVO COMPUTACIONALMENTE EFICIENTE PARA REPRESENTACIONES SPARSE CONVOLUCIONALES EN 3D,5. Cerrado,básica y aplicada,Ingeniería y Tecnología,TIC y redes sociales,Departamento de Ingeniería,Electricidad y Electrónica,"RODRIGUEZ VALDERRAMA, PAUL ANTONIO",RODRIGUEZ VALDERRAMA PAUL ANTONIO,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
764,NO APLICA,2016-CAPI-145,NO APLICA,2016,ABRIENDO ESPACIOS IDEOLÓGICOS DESDE ABAJO: A PROPÓSITO DE LA POLÍTICA LINGÜÍSTICA A FAVOR DEL QUECHUA,ABRIENDO ESPACIOS IDEOLOGICOS DESDE ABAJO A PROPOSITO DE LA POLITICA LINGUISTICA A FAVOR DEL QUECHUA,5. Cerrado,básica y aplicada,Humanidades,Interculturalidad,Departamento de Humanidades,Lingüística y Literatura,"ZAVALA CISNEROS, VIRGINIA",ZAVALA CISNEROS VIRGINIA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
765,NO APLICA,2016-FEXT-093,NO APLICA,2016,4EQUALSCIENCE: MUJERES EN LA CIENCIA EN CINCO UNIVERSIDADES DE LA RED PERUANA DE UNIVERSIDADES,4EQUALSCIENCE MUJERES EN LA CIENCIA EN CINCO UNIVERSIDADES DE LA RED PERUANA DE UNIVERSIDADES,5. Cerrado,básica y aplicada,Ciencias Sociales,"Democracia, ciudadanía y derechos humanos",Departamento de Ciencias Sociales,Sociología,"RUIZ BRAVO LOPEZ, PATRICIA MARIELLA",RUIZ BRAVO LOPEZ PATRICIA MARIELLA,OAP-DGI (Oficina de Administración de Proyectos,EXTERNO,"CONCYTEC/FONDECYT - Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica"
766,PI0544,2017-FEXT-134,NO APLICA,2017,VACCINE AND TREATMENT EVALUATION UNIT (VTEU),VACCINE AND TREATMENT EVALUATION UNIT VTEU,5. Cerrado,básica y aplicada,Ciencias Naturales,Ciencias analíticas,VRI - Vicerrectorado de Investigación,Laboratorio de Genómica,"LEGUIA LAMA, MARIANA",LEGUIA LAMA MARIANA,OAP-DGI (Oficina de Administración de Proyectos,EXTERNO,Centro Médico de la Universidad de Vanderbilt.
767,NO APLICA,2017-CAPI-212,NO APLICA,2017,STABILIZABILITY WITH MARKOV PARAMETERS PARTIALLY KNOWN AND METRICS OF PERFORMANCE OF MARKOV JUMP LINEAR SINGULAR SYSTEMS,STABILIZABILITY WITH MARKOV PARAMETERS PARTIALLY KNOWN AND METRICS OF PERFORMANCE OF MARKOV JUMP LINEAR SINGULAR SYSTEMS,5. Cerrado,básica y aplicada,Ciencias Naturales,Matemáticas aplicadas,Departamento de Ciencias,Matemáticas,"CHAVEZ FUENTES, JORGE RICHARD",CHAVEZ FUENTES JORGE RICHARD,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
768,NO APLICA,2017-CAPI-235,NO APLICA,2017,SINGULARIDADES DE FOLIACIONES DE SEGUNDO TIPO,SINGULARIDADES DE FOLIACIONES DE SEGUNDO TIPO,5. Cerrado,básica y aplicada,Ciencias Naturales,Matemáticas puras,Departamento de Ciencias,Matemáticas,"FERNANDEZ SANCHEZ, PERCY BRAULIO",FERNANDEZ SANCHEZ PERCY BRAULIO,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
769,NO APLICA,2017-CAPI-239,NO APLICA,2017,ROL DEL INVOLUCRAMIENTO PATERNO -RELATIVO AL DE LA MADRE- Y DE SUS FACTORES ASOCIADOS EN LA COMPETENCIA SOCIOEMOCIONAL DE NIÑOS Y NIÑAS PREESCOLARES DE CUATRO CIUDADES DEL PERÚ.,ROL DEL INVOLUCRAMIENTO PATERNO RELATIVO AL DE LA MADRE Y DE SUS FACTORES ASOCIADOS EN LA COMPETENCIA SOCIOEMOCIONAL DE NINOS Y NINAS PREESCOLARES DE CUATRO CIUDADES DEL PERU,5. Cerrado,básica y aplicada,Ciencias Sociales,Salud y bienestar,Departamento de Psicología,Psicología,"UGARTE VILLALOBOS, ANDREA SUSANA",UGARTE VILLALOBOS ANDREA SUSANA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
770,PI0663,2017-FEXT-122,NO APLICA,2017,RESONANCIA MAGNÉTICA NUCLEAR EN LAS CIENCIAS DE LOS ALIMENTOS Y EN LAS CIENCIAS DE LA SALUD,RESONANCIA MAGNETICA NUCLEAR EN LAS CIENCIAS DE LOS ALIMENTOS Y EN LAS CIENCIAS DE LA SALUD,5. Cerrado,básica y aplicada,Ciencias Naturales,Ciencias analíticas,Departamento de Ciencias,Química,"MARUENDA CASTILLO, HELENA",MARUENDA CASTILLO HELENA,OAP-DGI (Oficina de Administración de Proyectos,EXTERNO,"CONCYTEC/FONDECYT - Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica"
771,NO APLICA,2017-CAPI-271,NO APLICA,2017,PEDIR PERDÓN SIN PROPÓSITO DE ENMIENDA: RECONOCIMIENTO E INCLUSIÓN DE LA AFROPERUANIDAD DESPUÉS DE LA RESOLUCIÓN SUPREMA DEL ESTADO PERUANO DEL AÑO 2009,PEDIR PERDON SIN PROPOSITO DE ENMIENDA RECONOCIMIENTO E INCLUSION DE LA AFROPERUANIDAD DESPUES DE LA RESOLUCION SUPREMA DEL ESTADO PERUANO DEL ANO 2009,5. Cerrado,básica y aplicada,Ciencias Sociales,Desarrollo y responsabilidad social,Departamento de Educación,Filosofía,"VALDIVIEZO ARISTA, LUIS MARTÍN",VALDIVIEZO ARISTA LUIS MARTIN,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
772,NO APLICA,2017-CAPI-265,NO APLICA,2017,OBTENCIÓN DE UN ACEITE ENRIQUECIDO EN BIXINA CON ALTO PODER ANTIOXIDANTE A PARTIR DE LAS SEMILLAS DE LA BIXA ORELLANA L. UTILIZANDO TECNOLOGÍA SUPERCRÍTICA,OBTENCION DE UN ACEITE ENRIQUECIDO EN BIXINA CON ALTO PODER ANTIOXIDANTE A PARTIR DE LAS SEMILLAS DE LA BIXA ORELLANA L UTILIZANDO TECNOLOGIA SUPERCRITICA,5. Cerrado,básica y aplicada,Ingeniería y Tecnología,Desarrollo de productos y procesos,Departamento de Ingeniería,Industrial,"CARDENAS TORO, FIORELLA PATRICIA",CARDENAS TORO FIORELLA PATRICIA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
773,NO APLICA,2017-CAPI-252,NO APLICA,2017,OBSTACLE DETECTION AND AVOIDANCE DEVICE FOR MULTIROTOR UAVS THROUGH INTERFACE WITH PIXHAWK FLIGHT CONTROLLER,OBSTACLE DETECTION AND AVOIDANCE DEVICE FOR MULTIROTOR UAVS THROUGH INTERFACE WITH PIXHAWK FLIGHT CONTROLLER,5. Cerrado,básica y aplicada,Ingeniería y Tecnología,Control y automatización,Departamento de Ingeniería,Electricidad y Electrónica,"SAITO VILLANUEVA, CARLOS",SAITO VILLANUEVA CARLOS,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
774,NO APLICA,2017-CAPI-259,NO APLICA,2017,OBSERVANCIA ESTRUCTURAL Y ACCIONES ESTRATÉGICAS EN RELACIÓN A LA GESTIÓN Y DESARROLLO DE LA CARRERA PROFESORAL ANTE LA REFORMA UNIVERSITARIA EN EL PERÚ: ESTUDIO DE CASOS COMPARADOS DE CUATRO UNIVERSIDADES PRIVADAS ASOCIATIVAS.,OBSERVANCIA ESTRUCTURAL Y ACCIONES ESTRATEGICAS EN RELACION A LA GESTION Y DESARROLLO DE LA CARRERA PROFESORAL ANTE LA REFORMA UNIVERSITARIA EN EL PERU ESTUDIO DE CASOS COMPARADOS DE CUATRO UNIVERSIDADES PRIVADAS ASOCIATIVAS,5. Cerrado,básica y aplicada,Ciencias Sociales,Formación universitaria,Departamento de Ciencias de la Gestión,Gestión,"BONIFAZ CHIRINOS, MONICA PATRICIA",BONIFAZ CHIRINOS MONICA PATRICIA,OAP-DGI (Oficina de Administración de Proyectos,INTERNO,PUCP
